termo2;tiempo
24,5;13:02:58
25;13:02:56
25;13:02:55
24;13:02:53
25;13:02:52
25,25;13:02:50
24,75;13:02:49
25;13:02:47
25;13:02:46
24,5;13:02:44
25;13:02:43
25;13:02:41
24,75;13:02:40
25;13:02:38
24,5;13:02:37
24,75;13:02:35
24,75;13:02:34
24,75;13:02:32
25,25;13:02:31
25,25;13:02:29
25;13:02:28
24,75;13:02:26
25;13:02:25
24,75;13:02:23
25;13:02:22
24,5;13:02:20
25,25;13:02:19
24,5;13:02:17
25,5;13:02:16
25;13:02:14
25,25;13:02:12
24,75;13:02:11
24,5;13:02:09
24,5;13:02:08
24,5;13:02:07
24,75;13:02:05
25;13:02:04
24,75;13:02:02
24,75;13:02:00
25;13:01:59
25,5;13:01:57
25,25;13:01:56
24,75;13:01:54
25,25;13:01:53
25;13:01:51
25;13:01:50
25;13:01:48
25,25;13:01:47
25;13:01:45
25,25;13:01:44
24,75;13:01:42
25,25;13:01:41
24,75;13:01:39
25;13:01:38
24,5;13:01:36
24,75;13:01:35
25;13:01:33
25;13:01:32
25,5;13:01:30
25,25;13:01:29
24,75;13:01:27
25,25;13:01:26
25,25;13:01:24
25;13:01:23
25,25;13:01:21
25,25;13:01:20
25,25;13:01:18
25;13:01:17
25,25;13:01:15
25,25;13:01:14
25,25;13:01:13
25;13:01:11
25,25;13:01:09
24,5;13:01:08
25,25;13:01:06
25,5;13:01:05
25,25;13:01:03
25;13:01:02
25,25;13:01:00
25;13:00:59
25,25;13:00:57
25,25;13:00:56
25,5;13:00:54
24,5;13:00:53
25,25;13:00:51
25,5;13:00:50
25;13:00:48
25;13:00:47
25;13:00:45
25,5;13:00:44
25,5;13:00:42
25,5;13:00:41
25;13:00:40
25,5;13:00:38
25,25;13:00:36
25,5;13:00:35
25,5;13:00:33
25,25;13:00:32
25,5;13:00:30
25;13:00:29
25;13:00:28
25,25;13:00:26
25;13:00:25
25,5;13:00:24
25,5;13:00:20
24,75;13:00:19
25;13:00:17
25;13:00:16
25;13:00:14
25;13:00:12
25,5;13:00:11
25,5;13:00:09
25,5;13:00:08
25,5;13:00:06
25,5;13:00:05
25,75;13:00:03
25,25;13:00:02
25;13:00:00
25,5;12:59:59
25,75;12:59:57
25,75;12:59:56
25,25;12:59:54
25,5;12:59:53
25,5;12:59:51
25,5;12:59:50
25,5;12:59:48
24,75;12:59:47
25,75;12:59:45
25,75;12:59:44
25,75;12:59:42
25,5;12:59:41
25,25;12:59:39
25,75;12:59:38
25,75;12:59:36
25,5;12:59:35
25,5;12:59:33
25,75;12:59:32
25,75;12:59:30
25,75;12:59:29
26;12:59:28
25,75;12:59:26
25,25;12:59:24
25,25;12:59:23
25,75;12:59:21
25,75;12:59:20
25,5;12:59:18
25,75;12:59:17
25,75;12:59:15
25,5;12:59:14
26;12:59:12
25,5;12:59:11
25,5;12:59:09
25,5;12:59:08
25,75;12:59:06
25,25;12:59:05
26;12:59:03
25,75;12:59:02
25,75;12:59:00
25,25;12:58:59
25,75;12:58:58
25,75;12:58:56
26;12:58:54
25,75;12:58:53
26;12:58:51
25,25;12:58:50
25,5;12:58:48
26;12:58:47
26;12:58:45
25,75;12:58:43
26;12:58:42
25,75;12:58:40
25,75;12:58:39
26;12:58:38
25,75;12:58:36
25,5;12:58:35
25,25;12:58:33
26;12:58:31
25,25;12:58:30
26;12:58:29
26;12:58:27
25,5;12:58:25
25;12:58:24
25,75;12:58:22
26;12:58:21
25,75;12:58:19
26,25;12:58:18
26;12:58:16
25,75;12:58:15
26,25;12:58:13
25,5;12:58:12
26,25;12:58:10
26,25;12:58:09
25,75;12:58:07
26,5;12:58:06
26;12:58:04
26;12:58:03
26;12:58:01
26;12:58:00
26;12:57:58
26,25;12:57:57
25,75;12:57:55
26,5;12:57:54
26;12:57:52
26,25;12:57:51
25,75;12:57:49
26;12:57:48
26,25;12:57:46
26,25;12:57:45
26,25;12:57:43
26;12:57:42
26,5;12:57:40
26,25;12:57:39
26,5;12:57:37
26,5;12:57:36
26,5;12:57:34
26,25;12:57:33
26,25;12:57:31
26,5;12:57:30
26,5;12:57:28
26,25;12:57:27
26,25;12:57:25
26,75;12:57:24
26,25;12:57:22
26,5;12:57:21
26,5;12:57:19
26,75;12:57:18
26,75;12:57:16
26,75;12:57:15
26,75;12:57:13
26,5;12:57:12
26,25;12:57:10
26,75;12:57:09
25,75;12:57:07
26,5;12:57:06
26,5;12:57:04
26,75;12:57:03
26,5;12:57:01
26,5;12:57:00
26,75;12:56:58
26,75;12:56:57
27;12:56:55
27;12:56:54
26,25;12:56:52
26,75;12:56:51
26,5;12:56:49
26,75;12:56:48
26,5;12:56:46
26,5;12:56:45
26,75;12:56:43
27;12:56:42
26,75;12:56:40
27;12:56:39
26,75;12:56:37
27;12:56:36
26,75;12:56:34
27;12:56:33
27,25;12:56:31
26,5;12:56:30
26,75;12:56:28
27;12:56:27
26,75;12:56:25
27,25;12:56:24
27,25;12:56:22
26,5;12:56:21
26,5;12:56:19
27;12:56:18
27;12:56:16
27;12:56:15
27,5;12:56:13
27,25;12:56:12
27;12:56:10
26,75;12:56:09
27,25;12:56:07
27;12:56:06
27;12:56:04
27;12:56:03
26,75;12:56:01
27;12:56:00
27,5;12:55:58
27;12:55:57
27,25;12:55:55
27,5;12:55:54
27,5;12:55:52
27,25;12:55:51
27,5;12:55:49
27,5;12:55:48
27,5;12:55:46
27,5;12:55:45
27,5;12:55:43
27;12:55:42
27,5;12:55:40
27,5;12:55:39
27,5;12:55:37
27,5;12:55:36
27,75;12:55:34
27,5;12:55:31
27,75;12:55:29
27,25;12:55:28
28,25;12:55:26
27,25;12:55:25
27,25;12:55:23
27,5;12:55:22
27,75;12:55:20
27,75;12:55:19
27,25;12:55:17
27,5;12:55:16
27,5;12:55:14
28;12:55:13
27,75;12:55:11
27,5;12:55:10
27,75;12:55:08
27,75;12:55:07
27,5;12:55:05
27,25;12:55:04
28;12:55:02
28;12:55:01
28;12:54:59
27,75;12:54:58
27,75;12:54:56
27,5;12:54:55
27,5;12:54:53
28,25;12:54:52
28,25;12:54:50
28;12:54:49
28,25;12:54:47
28,25;12:54:46
28,25;12:54:44
27,75;12:54:43
28,25;12:54:41
28,25;12:54:40
28;12:54:38
28;12:54:37
28,25;12:54:35
28,25;12:54:34
28,25;12:54:32
28,5;12:54:31
28,25;12:54:29
28,5;12:54:28
28,25;12:54:26
28;12:54:25
28,5;12:54:23
28,25;12:54:22
28,75;12:54:20
28,5;12:54:19
28,75;12:54:17
28,75;12:54:16
28,75;12:54:14
28,75;12:54:13
28,25;12:54:11
28,25;12:54:10
28,75;12:54:08
28;12:54:07
28;12:54:05
28,25;12:54:04
28,5;12:54:02
29;12:54:01
28,5;12:53:59
28,5;12:53:58
29;12:53:56
29;12:53:55
29;12:53:53
29;12:53:52
28,75;12:53:50
28,5;12:53:49
29,25;12:53:47
29;12:53:46
29;12:53:44
29;12:53:43
29;12:53:41
28,75;12:53:40
29,25;12:53:38
29;12:53:37
29,5;12:53:35
29,25;12:53:34
29,5;12:53:32
28,5;12:53:31
29,75;12:53:29
29,5;12:53:28
28,75;12:53:26
29,25;12:53:25
29,25;12:53:23
29,25;12:53:22
29,5;12:53:20
29,75;12:53:19
29,75;12:53:17
29,5;12:53:16
29,75;12:53:14
30;12:53:12
29,25;12:53:11
29,5;12:53:10
29;12:53:08
29,75;12:53:07
29,75;12:53:05
30;12:53:03
29,5;12:53:02
30;12:53:01
30;12:52:59
30;12:52:57
29,75;12:52:56
30;12:52:54
30;12:52:53
30,5;12:52:51
30;12:52:50
30,25;12:52:49
30;12:52:47
29,75;12:52:45
30,25;12:52:44
30,75;12:52:39
30,25;12:52:35
30,5;12:52:33
30,75;12:52:31
31;12:52:29
30,25;12:52:27
30,5;12:52:26
30,5;12:52:24
30,5;12:52:23
30,5;12:52:22
31;12:52:20
31;12:52:18
31,25;12:52:17
31,25;12:52:15
31;12:52:14
31,25;12:52:12
30,75;12:52:11
31;12:52:09
31,25;12:52:08
31,25;12:52:06
31;12:52:05
31,5;12:52:03
31,5;12:52:02
31,5;12:52:00
31;12:51:59
31,25;12:51:57
31,75;12:51:56
31,25;12:51:54
31,75;12:51:53
31,5;12:51:51
31,5;12:51:50
31,5;12:51:48
31,75;12:51:47
32;12:51:45
32;12:51:44
32;12:51:42
31,25;12:51:41
31,75;12:51:39
32;12:51:38
31,5;12:51:36
32,25;12:51:35
32;12:51:33
32,25;12:51:32
32,25;12:51:30
32,25;12:51:29
31,75;12:51:27
31,75;12:51:26
32,5;12:51:24
32,25;12:51:23
32;12:51:21
32,5;12:51:20
32,75;12:51:18
32,25;12:51:17
32,5;12:51:15
33;12:51:14
32,5;12:51:12
33;12:51:11
33;12:51:09
32,75;12:51:08
32,25;12:51:06
33,5;12:51:05
33,25;12:51:03
32,5;12:51:02
33,25;12:51:00
32,5;12:50:59
33;12:50:57
33,25;12:50:56
33,5;12:50:54
33,5;12:50:53
33,25;12:50:51
33,75;12:50:50
33,75;12:50:48
33,25;12:50:47
33,75;12:50:45
33,5;12:50:44
34;12:50:42
34;12:50:41
33,75;12:50:39
33,75;12:50:38
34;12:50:36
34;12:50:35
34,25;12:50:33
34,25;12:50:32
34,25;12:50:30
34;12:50:29
34,5;12:50:27
34,5;12:50:26
34,5;12:50:24
34,75;12:50:23
34,75;12:50:21
35;12:50:20
35;12:50:18
35;12:50:17
35;12:50:15
35,25;12:50:14
35,25;12:50:12
35;12:50:11
35,25;12:50:09
35,25;12:50:08
34,75;12:50:06
35,5;12:50:05
35,5;12:50:03
35,25;12:50:02
34,75;12:50:00
35,5;12:49:59
35,25;12:49:57
36;12:49:56
35,5;12:49:54
36;12:49:53
36;12:49:51
35,75;12:49:50
36;12:49:48
36,25;12:49:47
36;12:49:45
36,5;12:49:43
35,75;12:49:42
36,25;12:49:40
36,25;12:49:39
36,5;12:49:37
36,5;12:49:36
36,5;12:49:34
36,25;12:49:33
36,5;12:49:31
36,25;12:49:30
37,25;12:49:28
36,75;12:49:27
36,75;12:49:25
37,25;12:49:24
36,5;12:49:22
37,5;12:49:21
37,75;12:49:19
37,75;12:49:18
37,25;12:49:16
37,75;12:49:15
37,75;12:49:13
37,25;12:49:12
37,5;12:49:10
38;12:49:09
38;12:49:07
38,5;12:49:06
38,25;12:49:04
38,5;12:49:03
38,5;12:49:01
38,25;12:49:00
38,5;12:48:59
39;12:48:57
38,5;12:48:55
39;12:48:54
38,5;12:48:52
39;12:48:51
39,5;12:48:49
38,75;12:48:48
38,75;12:48:46
39,25;12:48:45
39,25;12:48:43
39,5;12:48:42
39,75;12:48:40
40;12:48:39
40;12:48:37
39,5;12:48:36
39,75;12:48:34
40,25;12:48:33
40,5;12:48:31
40;12:48:30
40,5;12:48:28
40,75;12:48:27
40,75;12:48:25
40,75;12:48:24
41;12:48:22
41,25;12:48:21
41;12:48:19
41;12:48:18
41,25;12:48:16
41,5;12:48:15
41,75;12:48:13
41,25;12:48:12
41,25;12:48:10
42;12:48:09
42,25;12:48:07
41,5;12:48:06
42;12:48:04
42,25;12:48:03
42,25;12:48:01
42,5;12:48:00
42,25;12:47:58
42,5;12:47:57
43;12:47:55
43,25;12:47:54
43;12:47:52
43,25;12:47:51
43,25;12:47:49
43,5;12:47:48
43,5;12:47:46
44;12:47:45
43,75;12:47:43
43,5;12:47:42
44,25;12:47:40
44,5;12:47:39
43,5;12:47:37
44,5;12:47:36
44,5;12:47:34
44;12:47:33
44,75;12:47:31
44,75;12:47:30
45;12:47:28
44,5;12:47:27
45;12:47:25
45,5;12:47:24
45,75;12:47:22
45,25;12:47:21
45,5;12:47:19
46,25;12:47:18
46,5;12:47:16
46;12:47:15
46,25;12:47:13
46,75;12:47:12
46;12:47:10
46,5;12:47:09
47,5;12:47:07
47;12:47:06
47,5;12:47:04
46,75;12:47:03
47,25;12:47:01
48;12:47:00
47,5;12:46:58
48;12:46:57
48;12:46:55
47,75;12:46:54
48,75;12:46:52
48,75;12:46:51
48,75;12:46:49
48,25;12:46:48
49,25;12:46:46
49;12:46:45
49;12:46:43
49,5;12:46:42
50;12:46:40
49,75;12:46:39
50;12:46:37
50;12:46:36
50,5;12:46:34
51;12:46:33
50,75;12:46:31
51;12:46:30
51,25;12:46:28
51;12:46:27
51,5;12:46:25
51,75;12:46:24
51,75;12:46:22
52;12:46:21
52,25;12:46:19
52;12:46:18
52,5;12:46:16
52,5;12:46:14
53;12:46:13
53,25;12:46:11
53,5;12:46:10
53,25;12:46:09
53,75;12:46:07
54,25;12:46:06
54,25;12:46:04
54,25;12:46:02
54,25;12:46:01
55,5;12:45:55
55;12:45:54
55,25;12:45:52
55,75;12:45:50
56;12:45:49
56,25;12:45:48
56,25;12:45:46
57;12:45:44
56,75;12:45:43
57,25;12:45:41
57,5;12:45:40
57,5;12:45:38
58;12:45:37
58;12:45:35
58,25;12:45:34
58;12:45:32
59;12:45:31
58,5;12:45:29
59,25;12:45:28
59,5;12:45:26
59,75;12:45:25
59,75;12:45:23
60,25;12:45:22
60,5;12:45:20
60,75;12:45:19
61,25;12:45:17
61;12:45:16
64,5;12:45:15
64,5;12:44:56
65;12:44:55
65,5;12:44:53
65,5;12:44:52
65,75;12:44:50
66,5;12:44:49
66,25;12:44:47
66,5;12:44:46
67,25;12:44:44
67,5;12:44:43
68,25;12:44:41
67,75;12:44:40
68,75;12:44:38
68,25;12:44:37
69,25;12:44:35
69,25;12:44:34
69,75;12:44:32
70;12:44:31
70,25;12:44:29
70,75;12:44:28
71,25;12:44:26
71,5;12:44:25
71,5;12:44:23
72,25;12:44:22
72,75;12:44:19
73,5;12:44:16
73,75;12:44:14
74,25;12:44:13
74,75;12:44:11
74,5;12:44:10
75,25;12:44:08
75,5;12:44:07
76,25;12:44:05
76,5;12:44:04
76,5;12:44:02
76,75;12:44:01
77,25;12:43:59
78,25;12:43:58
78,5;12:43:56
79;12:43:55
79,5;12:43:53
80;12:43:52
80,5;12:43:50
81,5;12:43:46
81,75;12:43:44
82,25;12:43:43
82,5;12:43:41
82,75;12:43:40
84,25;12:43:37
84,5;12:43:36
85,25;12:43:32
85,75;12:43:31
86,75;12:43:29
87,5;12:43:28
87,5;12:43:26
88;12:43:25
88,5;12:43:23
89,75;12:43:22
90,75;12:43:19
91,75;12:43:17
92,5;12:43:16
92,75;12:43:14
95,75;12:43:13
97;12:43:08
98,25;12:43:07
101;12:43:06
103;12:43:02
